city_name,city_country,name,category,cost,duration_minutes,description,image_url
Tokyo,Japan,Shinkansen Tokyo to Kyoto,transport,120,140,High-speed bullet train ride from Tokyo to Kyoto,
Tokyo,Japan,Senso-ji Temple Visit,activity,0,90,Explore Tokyo's oldest Buddhist temple in Asakusa,
Tokyo,Japan,Tsukiji Outer Market Food Tour,food,45,120,Guided tour through the famous fish market with tastings,
Tokyo,Japan,Hotel Night in Shinjuku,stay,150,1440,Mid-range hotel in the vibrant Shinjuku district,
Tokyo,Japan,Shibuya Crossing Experience,activity,0,30,Walk the world's busiest pedestrian crossing,
Tokyo,Japan,TeamLab Borderless,activity,25,120,Immersive digital art museum experience,
Tokyo,Japan,Ramen at Ichiran,food,12,45,Iconic tonkotsu ramen with individual dining booths,
Tokyo,Japan,Meiji Shrine Visit,activity,0,60,Serene Shinto shrine surrounded by forest in the heart of Tokyo,
Kyoto,Japan,Fushimi Inari Shrine,activity,0,120,Walk through thousands of vermillion torii gates,
Kyoto,Japan,Bamboo Grove Walk,activity,0,60,Stroll through the iconic Arashiyama bamboo forest,
Kyoto,Japan,Traditional Ryokan Stay,stay,200,1440,Authentic Japanese inn with tatami rooms and onsen,
Kyoto,Japan,Tea Ceremony Experience,activity,35,90,Traditional matcha tea ceremony in a historic teahouse,
Kyoto,Japan,Kaiseki Dinner,food,80,120,Multi-course traditional Japanese haute cuisine,
Osaka,Japan,Osaka Castle Visit,activity,8,90,Historic castle with museum and panoramic city views,
Osaka,Japan,Dotonbori Street Food,food,25,120,Self-guided food crawl through Osaka's neon-lit food street,
Osaka,Japan,Hotel Night in Namba,stay,100,1440,Comfortable hotel near Dotonbori entertainment district,
Paris,France,Eiffel Tower Summit,activity,26,120,Ascend to the top of the iconic iron tower,
Paris,France,Louvre Museum,activity,17,180,World's largest art museum housing the Mona Lisa,
Paris,France,Seine River Cruise,activity,15,60,Scenic boat cruise along the Seine past major landmarks,
Paris,France,Hotel Night in Le Marais,stay,180,1440,Boutique hotel in the trendy Marais neighborhood,
Paris,France,Croissant and Coffee at Café de Flore,food,15,45,Classic Parisian café experience on Boulevard Saint-Germain,
Paris,France,Montmartre Walking Tour,activity,20,150,Guided walk through the artistic hilltop village,
Paris,France,Paris Metro Day Pass,transport,16,1440,Unlimited metro rides for a full day,
London,United Kingdom,British Museum,activity,0,180,Explore world-class historical artifacts for free,
London,United Kingdom,Tower of London,activity,33,120,Historic castle and home of the Crown Jewels,
London,United Kingdom,Afternoon Tea at The Ritz,food,75,120,Quintessential British afternoon tea experience,
London,United Kingdom,Hotel Night in Covent Garden,stay,200,1440,Central London hotel near theaters and shops,
London,United Kingdom,Oyster Card Day Travel,transport,18,1440,Unlimited tube and bus travel across London zones,
London,United Kingdom,West End Show Ticket,activity,65,150,World-class theater performance in London's West End,
Barcelona,Spain,La Sagrada Familia,activity,26,90,Gaudí's unfinished masterpiece basilica,
Barcelona,Spain,Park Güell,activity,10,90,Colorful mosaic park designed by Gaudí,
Barcelona,Spain,Tapas Crawl in El Born,food,30,120,Hop between traditional tapas bars in the Gothic Quarter,
Barcelona,Spain,Hotel Night in Eixample,stay,110,1440,Stylish hotel in Barcelona's modernist district,
Barcelona,Spain,La Boqueria Market Visit,food,20,60,Explore the famous covered market on La Rambla,
Rome,Italy,Colosseum Guided Tour,activity,25,120,Skip-the-line tour of the ancient amphitheater,
Rome,Italy,Vatican Museums & Sistine Chapel,activity,20,180,Explore Renaissance masterpieces and Michelangelo's ceiling,
Rome,Italy,Pasta Making Class,food,55,150,Hands-on cooking class learning to make fresh pasta,
Rome,Italy,Hotel Night in Trastevere,stay,130,1440,Charming hotel in Rome's most atmospheric neighborhood,
Rome,Italy,Gelato Tasting Tour,food,25,90,Sample artisanal gelato at Rome's best gelaterias,
Amsterdam,Netherlands,Anne Frank House,activity,16,90,Visit the Secret Annex where Anne Frank hid during WWII,
Amsterdam,Netherlands,Van Gogh Museum,activity,20,120,World's largest collection of Van Gogh's works,
Amsterdam,Netherlands,Canal Cruise,activity,15,75,Guided boat tour through Amsterdam's historic canals,
Amsterdam,Netherlands,Hotel Night in Jordaan,stay,160,1440,Boutique hotel in Amsterdam's trendy canal-side neighborhood,
Amsterdam,Netherlands,Indonesian Rijsttafel,food,35,90,Traditional Indonesian rice table feast — Dutch colonial legacy,
Berlin,Germany,Brandenburg Gate & Reichstag,activity,0,90,Visit Berlin's most iconic landmarks and the glass dome,
Berlin,Germany,Berlin Wall Memorial,activity,0,60,Sobering memorial with preserved wall segments,
Berlin,Germany,Currywurst at Curry 36,food,5,20,Iconic Berlin street food experience,
Berlin,Germany,Hotel Night in Mitte,stay,90,1440,Modern hotel in Berlin's central district,
Prague,Czech Republic,Prague Castle Complex,activity,15,150,Explore the world's largest ancient castle,
Prague,Czech Republic,Charles Bridge Walk,activity,0,45,Stroll across the iconic 14th-century stone bridge,
Prague,Czech Republic,Beer Tasting Tour,food,30,120,Sample Czech craft beers in historic pubs,
Prague,Czech Republic,Hotel Night in Old Town,stay,70,1440,Hotel steps from the Astronomical Clock,
Istanbul,Turkey,Hagia Sophia,activity,15,90,Visit the stunning 6th-century former cathedral and mosque,
Istanbul,Turkey,Grand Bazaar Shopping,activity,0,120,Browse 4000+ shops in one of the world's oldest covered markets,
Istanbul,Turkey,Bosphorus Ferry Cruise,activity,5,90,Scenic ferry ride between Europe and Asia,
Istanbul,Turkey,Hotel Night in Sultanahmet,stay,60,1440,Hotel near the Blue Mosque and Hagia Sophia,
Istanbul,Turkey,Turkish Breakfast Spread,food,12,60,Traditional multi-dish Turkish breakfast experience,
Dubai,UAE,Burj Khalifa At the Top,activity,45,60,Visit the observation deck of the world's tallest building,
Dubai,UAE,Desert Safari with BBQ Dinner,activity,65,360,Dune bashing followed by traditional Arabian BBQ,
Dubai,UAE,Gold Souk Visit,activity,0,60,Browse the dazzling traditional gold market,
Dubai,UAE,Hotel Night in Downtown Dubai,stay,180,1440,Luxury hotel with Burj Khalifa views,
Dubai,UAE,Brunch at Atlantis,food,90,180,Lavish brunch buffet at the iconic Atlantis resort,
New York,United States,Statue of Liberty & Ellis Island,activity,24,240,Ferry ride and guided tour of Lady Liberty,
New York,United States,Metropolitan Museum of Art,activity,30,180,One of the world's greatest art museums,
New York,United States,Broadway Show Ticket,activity,120,150,See a world-class Broadway musical performance,
New York,United States,Hotel Night in Midtown Manhattan,stay,250,1440,Hotel near Times Square and Central Park,
New York,United States,Pizza at Joe's,food,5,20,Classic New York slice at the legendary Joe's Pizza,
New York,United States,Central Park Bike Rental,activity,15,120,Cycle through Manhattan's iconic green oasis,
New York,United States,NYC Subway Day Pass,transport,7,1440,Unlimited subway and bus rides for one day,
Bangkok,Thailand,Grand Palace & Wat Phra Kaew,activity,15,120,Thailand's most sacred Buddhist temple complex,
Bangkok,Thailand,Chatuchak Weekend Market,activity,0,180,Browse 15000+ stalls at one of the world's largest markets,
Bangkok,Thailand,Thai Street Food Tour,food,20,150,Guided walk sampling pad thai and mango sticky rice,
Bangkok,Thailand,Hotel Night in Sukhumvit,stay,40,1440,Modern hotel on Bangkok's main commercial strip,
Bangkok,Thailand,Tuk-Tuk City Tour,transport,10,120,Zip through Bangkok's streets in a classic tuk-tuk,
Bangkok,Thailand,Thai Massage at Wat Pho,activity,10,60,Traditional Thai massage at the Temple of the Reclining Buddha,
Bali,Indonesia,Uluwatu Temple Sunset,activity,5,120,Clifftop temple with Kecak fire dance at sunset,
Bali,Indonesia,Ubud Rice Terrace Walk,activity,0,90,Walk through the stunning Tegallalang rice terraces,
Bali,Indonesia,Surfing Lesson in Kuta,activity,25,120,Beginner surf lesson on Bali's famous beach,
Bali,Indonesia,Villa Night in Ubud,stay,50,1440,Private villa surrounded by rice paddies and jungle,
Bali,Indonesia,Warung Dinner,food,8,60,Traditional Balinese meal at a local family restaurant,
Bali,Indonesia,Scooter Rental Day,transport,5,1440,Rent a scooter to explore Bali independently,
Singapore,Singapore,Gardens by the Bay,activity,20,120,Futuristic botanical gardens with Supertree Grove,
Singapore,Singapore,Hawker Centre Food Tour,food,15,120,Sample Singapore's legendary hawker stall dishes,
Singapore,Singapore,Marina Bay Sands SkyPark,activity,26,60,Rooftop observation deck with panoramic city views,
Singapore,Singapore,Hotel Night in Marina Bay,stay,200,1440,Waterfront hotel with skyline views,
Sydney,Australia,Sydney Opera House Tour,activity,30,60,Guided tour of the iconic performing arts center,
Sydney,Australia,Bondi to Coogee Coastal Walk,activity,0,120,Stunning cliff-top walk between two famous beaches,
Sydney,Australia,Hotel Night in The Rocks,stay,180,1440,Heritage hotel in Sydney's oldest neighborhood,
Sydney,Australia,Fish and Chips at Sydney Fish Market,food,18,45,Fresh seafood at the Southern Hemisphere's largest fish market,
Cairo,Egypt,Giza Pyramids & Sphinx,activity,20,180,Visit the last surviving Wonder of the Ancient World,
Cairo,Egypt,Egyptian Museum,activity,12,120,Home to Tutankhamun's treasures and ancient artifacts,
Cairo,Egypt,Nile Felucca Ride,activity,10,60,Traditional sailboat ride on the Nile at sunset,
Cairo,Egypt,Hotel Night in Zamalek,stay,50,1440,Island hotel with Nile views in Cairo's upscale district,
Cairo,Egypt,Koshari at Abou Tarek,food,3,30,Egypt's beloved national dish — lentils and pasta,
Marrakech,Morocco,Jardin Majorelle,activity,10,60,Cobalt blue garden designed by Yves Saint Laurent,
Marrakech,Morocco,Jemaa el-Fna Night Market,food,15,120,Evening food stalls with traditional Moroccan dishes,
Marrakech,Morocco,Riad Stay in the Medina,stay,60,1440,Traditional courtyard guesthouse in the old city,
Marrakech,Morocco,Hammam Spa Experience,activity,25,90,Traditional Moroccan steam bath and scrub,
Buenos Aires,Argentina,La Boca Neighborhood Walk,activity,0,90,Colorful streets and tango performances in the birthplace of tango,
Buenos Aires,Argentina,Steak Dinner at Don Julio,food,45,120,World-renowned Argentine steakhouse experience,
Buenos Aires,Argentina,Hotel Night in Palermo,stay,70,1440,Trendy hotel in BA's hippest neighborhood,
Buenos Aires,Argentina,Tango Show at Café Tortoni,activity,30,120,Traditional tango performance at Buenos Aires' oldest café,
Rio de Janeiro,Brazil,Christ the Redeemer,activity,15,120,Visit the iconic statue atop Corcovado Mountain,
Rio de Janeiro,Brazil,Copacabana Beach Day,activity,0,240,Relax on Rio's most famous beach,
Rio de Janeiro,Brazil,Hotel Night in Ipanema,stay,90,1440,Beachfront hotel in the stylish Ipanema neighborhood,
Rio de Janeiro,Brazil,Feijoada Lunch,food,15,90,Traditional Brazilian black bean and pork stew,
Lisbon,Portugal,Tram 28 Ride,transport,3,45,Ride the vintage yellow tram through Lisbon's historic hills,
Lisbon,Portugal,Belém Tower & Pastéis de Belém,activity,10,120,Visit the iconic tower then taste original Portuguese custard tarts,
Lisbon,Portugal,Hotel Night in Alfama,stay,80,1440,Boutique hotel in Lisbon's oldest and most atmospheric quarter,
Lisbon,Portugal,Seafood at Cervejaria Ramiro,food,35,90,Famous Lisbon seafood restaurant since 1956,
Budapest,Hungary,Széchenyi Thermal Baths,activity,20,180,Relax in Europe's largest medicinal thermal bath complex,
Budapest,Hungary,Ruin Bar Crawl,food,25,150,Pub crawl through Budapest's famous ruin bar district,
Budapest,Hungary,Hotel Night in District VII,stay,55,1440,Hotel in the Jewish Quarter near the ruin bars,
Budapest,Hungary,Danube River Cruise,activity,15,60,Evening cruise with views of the illuminated Parliament,
Seoul,South Korea,Gyeongbokgung Palace,activity,3,120,Grand palace with traditional guard changing ceremony,
Seoul,South Korea,Myeongdong Street Food,food,15,90,Korean street food haven — tteokbokki and hotteok,
Seoul,South Korea,Hotel Night in Gangnam,stay,120,1440,Modern hotel in Seoul's upscale district,
Seoul,South Korea,DMZ Tour,activity,45,480,Guided tour of the Korean Demilitarized Zone,
Cusco,Peru,Machu Picchu Day Trip,activity,70,720,Train ride and guided tour of the Inca citadel,
Cusco,Peru,Sacred Valley Tour,activity,35,480,Full-day tour of Inca ruins in the Urubamba Valley,
